location,continent,epoch,images_found,tile_images,error
Stockholm,Europe,2021,5418,60695,
Stockholm,Europe,2022,3090,60695,
Stockholm,Europe,2023,8174,60695,
Stockholm,Europe,2024,6361,60695,
Stockholm,Europe,2025,929,60695,
Stockholm,Europe,2026,2798,60695,
Warsaw,Europe,2014-2015,1360,25540,
Warsaw,Europe,2016-2017,813,25540,
Warsaw,Europe,2018,1843,25540,
Warsaw,Europe,2019,4209,25540,
Warsaw,Europe,2020,5826,25540,
Warsaw,Europe,2021,3431,25540,
Warsaw,Europe,2022,3112,25540,
Warsaw,Europe,2023,64,25540,
Warsaw,Europe,2024,879,25540,
Warsaw,Europe,2025,1021,25540,
Warsaw,Europe,2026,2854,25540,
Rome,Europe,2014-2015,345,11494,
Rome,Europe,2016-2017,1119,11494,
Rome,Europe,2018,975,11494,
Rome,Europe,2019,2025,11494,
Rome,Europe,2020,0,11494,
Rome,Europe,2021,0,11494,
Rome,Europe,2022,326,11494,
Rome,Europe,2023,2739,11494,
Rome,Europe,2024,31,11494,
Rome,Europe,2025,2389,11494,
Rome,Europe,2026,1544,11494,
Istanbul,Europe,2014-2015,397,19569,
Istanbul,Europe,2016-2017,1133,19569,
Istanbul,Europe,2018,8668,19569,
Istanbul,Europe,2019,7866,19569,
Istanbul,Europe,2020,196,19569,
Istanbul,Europe,2021,360,19569,
Istanbul,Europe,2022,191,19569,
Istanbul,Europe,2023,168,19569,
Istanbul,Europe,2024,374,19569,
Istanbul,Europe,2025,21,19569,
Istanbul,Europe,2026,0,19569,
Cairo,Africa,2014-2015,0,2456,
Cairo,Africa,2016-2017,133,2456,
Cairo,Africa,2018,13,2456,
Cairo,Africa,2019,1139,2456,
Cairo,Africa,2020,824,2456,
Cairo,Africa,2021,300,2456,
Cairo,Africa,2022,0,2456,
Cairo,Africa,2023,1,2456,
Cairo,Africa,2024,35,2456,
Cairo,Africa,2025,6,2456,
Cairo,Africa,2026,0,2456,
Casablanca,Africa,2014-2015,0,48662,
Casablanca,Africa,2016-2017,0,48662,
Casablanca,Africa,2018,48653,48662,
Casablanca,Africa,2019,9,48662,
Casablanca,Africa,2020,0,48662,
Casablanca,Africa,2021,0,48662,
Casablanca,Africa,2022,0,48662,
Casablanca,Africa,2023,0,48662,
Casablanca,Africa,2024,0,48662,
Casablanca,Africa,2025,0,48662,
Casablanca,Africa,2026,0,48662,
Lagos,Africa,2014-2015,0,7150,
Lagos,Africa,2016-2017,814,7150,
Lagos,Africa,2018,5383,7150,
Lagos,Africa,2019,0,7150,
Lagos,Africa,2020,0,7150,
Lagos,Africa,2021,0,7150,
Lagos,Africa,2022,0,7150,
Lagos,Africa,2023,438,7150,
Lagos,Africa,2024,162,7150,
Lagos,Africa,2025,353,7150,
Lagos,Africa,2026,0,7150,
Nairobi,Africa,2014-2015,30,6205,
Nairobi,Africa,2016-2017,2729,6205,
Nairobi,Africa,2018,782,6205,
Nairobi,Africa,2019,2,6205,
Nairobi,Africa,2020,476,6205,
Nairobi,Africa,2021,0,6205,
Nairobi,Africa,2022,0,6205,
Nairobi,Africa,2023,316,6205,
Nairobi,Africa,2024,674,6205,
Nairobi,Africa,2025,193,6205,
Nairobi,Africa,2026,1003,6205,
Johannesburg,Africa,2014-2015,0,25222,
Johannesburg,Africa,2016-2017,2,25222,
Johannesburg,Africa,2018,20496,25222,
Johannesburg,Africa,2019,0,25222,
Johannesburg,Africa,2020,0,25222,
Johannesburg,Africa,2021,0,25222,
Johannesburg,Africa,2022,0,25222,
Johannesburg,Africa,2023,0,25222,
Johannesburg,Africa,2024,3,25222,
Johannesburg,Africa,2025,4721,25222,
Johannesburg,Africa,2026,0,25222,
Dubai,Asia,2014-2015,156,41872,
Dubai,Asia,2016-2017,8031,41872,
Dubai,Asia,2018,11385,41872,
Dubai,Asia,2019,2931,41872,
Dubai,Asia,2020,5491,41872,
Dubai,Asia,2021,2392,41872,
Dubai,Asia,2022,2828,41872,
Dubai,Asia,2023,2083,41872,
Dubai,Asia,2024,2733,41872,
Dubai,Asia,2025,2354,41872,
Dubai,Asia,2026,1152,41872,
Mumbai,Asia,2014-2015,0,12083,
Mumbai,Asia,2016-2017,880,12083,
Mumbai,Asia,2018,1205,12083,
Mumbai,Asia,2019,111,12083,
Mumbai,Asia,2020,0,12083,
Mumbai,Asia,2021,85,12083,
Mumbai,Asia,2022,889,12083,
Mumbai,Asia,2023,0,12083,
Mumbai,Asia,2024,2652,12083,
Mumbai,Asia,2025,1548,12083,
Mumbai,Asia,2026,4713,12083,
Bangkok,Asia,2014-2015,1040,25423,
Bangkok,Asia,2016-2017,766,25423,
Bangkok,Asia,2018,5342,25423,
Bangkok,Asia,2019,9905,25423,
Bangkok,Asia,2020,477,25423,
Bangkok,Asia,2021,4245,25423,
Bangkok,Asia,2022,1356,25423,
Bangkok,Asia,2023,0,25423,
Bangkok,Asia,2024,1722,25423,
Bangkok,Asia,2025,43,25423,
Bangkok,Asia,2026,526,25423,
Jakarta,Asia,2014-2015,22,135705,
Jakarta,Asia,2016-2017,0,135705,
Jakarta,Asia,2018,8628,135705,
Jakarta,Asia,2019,7153,135705,
Jakarta,Asia,2020,0,135705,
Jakarta,Asia,2021,0,135705,
Jakarta,Asia,2022,14820,135705,
Jakarta,Asia,2023,14093,135705,
Jakarta,Asia,2024,463,135705,
Jakarta,Asia,2025,90526,135705,
Jakarta,Asia,2026,0,135705,
