location,continent,epoch,lon,lat,image_id,captured_at,is_pano,width,height,n_detections,n_classes,n_surface,n_marking,n_object,n_traffic_sign,n_other,has_surface,detections_created_min,detections_created_max,decode_failures,sky_above_road,top_classes,error
Curitiba,South America,2023,-49.2733,-25.4284,3758806787736352,2023-09-30,False,,,428,24,333,16,79,0,0,True,2023-11-14,2023-11-14,0,True,void--unlabeled;construction--structure--building;object--wire-group;nature--vegetation;construction--flat--parking;construction--barrier--fence;marking--continuous--solid;object--support--pole,
Curitiba,South America,2026,-49.2733,-25.4284,1321317039329314,2026-05-31,False,,,466,25,365,13,87,1,0,True,2026-05-31,2026-05-31,0,True,void--unlabeled;construction--structure--building;object--wire-group;nature--vegetation;object--traffic-sign--front;construction--flat--road;object--support--utility-pole;object--vehicle--car,
Curitiba,South America,2026,-49.2733,-25.4284,1510047493937121,2026-05-31,False,,,362,24,299,3,60,0,0,True,2026-05-31,2026-05-31,0,True,void--unlabeled;construction--structure--building;construction--flat--sidewalk;nature--vegetation;object--wire-group;object--vehicle--car;nature--sky;object--support--pole,
Curitiba,South America,2026,-49.2733,-25.4284,1678767753365413,2026-05-30,False,,,231,20,189,3,39,0,0,True,2026-05-30,2026-05-30,0,True,void--unlabeled;nature--sky;construction--structure--building;object--wire-group;nature--vegetation;construction--barrier--wall;construction--barrier--curb;construction--flat--sidewalk,
São Paulo,South America,2014-2015,-46.6333,-23.5505,4237518006298970,2014-11-29,False,,,4,3,0,0,1,3,0,False,2021-05-19,2021-05-22,0,,regulatory--maximum-speed-limit-50--g1;regulatory--no-bicycles--g1;object--support--pole,
São Paulo,South America,2014-2015,-46.6333,-23.5505,4389247821085543,2015-01-16,False,,,3,1,0,0,3,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
São Paulo,South America,2014-2015,-46.6333,-23.5505,271620341276094,2015-04-28,False,,,1,1,0,0,0,1,0,False,2021-05-21,2021-05-21,0,,regulatory--no-bicycles--g1,
São Paulo,South America,2016-2017,-46.6333,-23.5505,740974763235262,2016-11-27,False,,,15,11,0,1,7,7,0,False,2021-05-19,2021-05-22,0,,object--street-light;warning--road-bump--g2;regulatory--maximum-speed-limit-30--g1;information--general-directions--g1;regulatory--no-parking--g5;warning--pedestrians-crossing--g9;regulatory--no-stopping--g2;warning--bicycles-crossing--g3,
São Paulo,South America,2016-2017,-46.6333,-23.5505,468626994241823,2016-11-27,False,,,7,4,0,0,7,0,0,False,2021-05-22,2021-05-22,0,,object--traffic-cone;object--support--pole;object--sign--store;object--street-light,
São Paulo,South America,2016-2017,-46.6333,-23.5505,484632846121442,2016-11-27,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
São Paulo,South America,2018,-46.6333,-23.5505,132468322208707,2018-05-16,False,,,2,2,0,0,2,0,0,False,2021-05-22,2021-05-22,0,,object--catch-basin;object--street-light,
